编号	说话人1/2	中文文本	英文文本	补充成分	补充句子	错别字
	2	如果艾莱士如我们所想了解很多	If Alex knows as much as we think，			
	2	她能帮助我们缩小搜索范围吗	can she help us narrow down the search scope?			
	1	值得一试	It's worth a try.			
						
214	1	你听过双刃刀吗	Have you ever heard of a double-edged sword?			
	2	就是你现在手里拿着的武器	That's the weapon you're holding right now.			
	1	对这个武器你还知道什么 约翰	What else do you know about this weapon, John?			
	1	这个武器有什么特别之处	What's special about this weapon?			
	2	八年前我和霍尔特帮你偷的	It was eight years ago that Holt and I stole it for you.			
	2	就在纽约	In New York.			
	2	你握的姿势错了	You're holding it in a wrong way.			
	2	我来吧	Give it to me.			
	2	早期双刃刀的手柄上部要宽五厘米	The upper part of the handle of the early double-edged knife should be 5 cm wide.			早起双刃刀的手柄上部要宽五厘米
	2	就像这么握	Grip it like this.			
	2	握得更好意味着挥刀更快	A better grip means a quicker swing,			我的更好意味着挥刀更快
	2	更好掌控	a better control.			
	1	你说的没错	You're right.			
						
215	1	认得这个吗	Do you recognize this?	you	你认得这个吗	认的这个吗
	2	威廉布莱克的作品 没记错的话	It's the work of William Blake, if I remembered correctly.	I	威廉布莱克的作品 我没记错的话	
	2	《审判日》很应景啊	Judgment Day is very appropriate.			
	1	更像是冲向审判日	More like a rush to judgment day.			
	2	这幅画是赝品	This painting is a forgery.			
	1	你没证据证明这是我伪造的	You have no proof that I faked this.			
	2	那不一定	Not necessarily.			
	1	我为什么要这么冒失	Why should I be so rash?			
	2	我觉得是你出了监狱	Because you're out of jail, I think.			
	2	记着转卖出去	Remember to resell it.			
	2	赚点快钱	Earn a quick buck.			赚点块钱
	1	你这是说我要逃之夭夭了吗	Are you saying I'm going to run?			
						
216	1	威廉 我知道你遇上难以理解的事	William, I know when you occurred something hard to understand,			
	1	就喜欢编一些故事	you would like to make up stories.	you	你就喜欢编一些故事	
	1	但是你不能血口喷人	But you can't spit it out.			
	1	我和杰克的感情是真的	My feelings with Jack are real.			
	2	你们的感情和他的跛脚一样真	Your love are as real as his limp.			
	2	是你逼我当众拆穿你的	You forced me to expose you in public.			是你逼我当中拆穿你的
						
217	1	你看到边缘的弯折痕迹了吗	Do you see the bending marks on the edges?			
	1	我想他是从钱包里拿出来的	I think he took it out of his wallet.			
	2	他的钱包怎么会有我的照片	Why does he have a picture of me in his wallet?			
	1	我觉得有一种解释	I think there's an explanation.			
	1	那个抱着你的男人	The man holding you,			
	1	那枚戒指	the ring,			
	1	杰米今天也戴着一枚一样的戒指	Jamie is wearing the same ring today.			杰米今天也带着一枚一样的戒指
	1	在你五岁之前 他就已经认识你了	He knew you before you were five.			
	2	绝不可能	That's impossible.			
						
218	1	亲爱的 这是你买的新车吗	Dear, is this the new car you bought?			情爱的 这是你买的新车吗
	2	我知道看起来不实用	I know it doesn't seem practical.			我知道看起来不使用
	2	不过安德瑞跟我说了好些临死之人的事	But Andre told me a lot about dying people.			
	1	我没有不高兴	I'm not unhappy			
	1	没生气 这车挺漂亮	I'm not angry, this car is beautiful.	I	我没生气 这车挺漂亮	
	1	就是惊讶你没买辆大车 仅此而已	Just surprised you didn't buy a big car that's all			
						
219	1	你知道LD50是什么吗	Do you know what LD50 is?			
	1	斯威尼先生	Mr. Sweeney.			
	2	它叫做半数致死量	It's called the half lethal dose.			它叫做半数至死量
	2	由克莱克森-布兰特公司设计	Designed by Crexen-Brandt Company,			有克莱克森-布兰特公司设计
	2	用来检测药物的毒性	which used to test the toxicity of a drug.			
	2	如果只毒死不到半数的实验动物	If you poison less than half of the lab animals,	you	你如果只毒死不到半数的实验动物	如果只堵死不到半数的实验动物
	2	就表明成功了	it's a sign of success.			
	2	你怎么突然关心起动物实验来了	Why do you suddenly care about animal experiments?			
	1	我就不能心怀慈悲吗	Can't I have compassion in my heart?			
						
220	1	彼得想让我去骗个寡妇	Peter wants me to cheat a widow.			
	2	这世界上有两种寡妇	There are two kinds of widows in the world.			
	2	悲痛欲绝的 如释重负的	The grief-stricken and the relief.			
	2	他让你骗的是哪种	What kind did he let you play?			他让你骗的是那种
	1	因为五千万而被人盯上的那种	The kind that gets targeted for $50 million.			
	2	索菲·卡温顿吗	Is she Sophie Covington?			
	2	她是凶手吗	Is she a murderer?			它是凶手吗
	1	不 她不是	No, she isn't.			
						
221	1	要坐下说吗	Do you want to say after sitting?			
	2	我是不想在这说的 希望你不要介意	I don't want to say it here. I hope you don't mind.			
	1	既然来了就说吧	Now that you're here, just tell me.	you	你既然来了就说吧	
	2	我知道这些已经是老黄历了	I know this is old history.			
	2	但是我需要澄清一件事	But I need to clarify one thing.			
	2	我发现你和我爸在一起后 真的很气愤	I was really angry when I found that you were with my dad.			我发现你和我爸在一起后 真的很气氛
	2	我闯进了他的办公室	I broke into his office.			
	1	你不用历数你那光辉事迹的细节了	You don't have to recount the details of your glorious deeds.			
	1	今早我和你父亲谈过了	I talked to your father this morning.			
	1	我还清楚地记得他在我语音信箱留下的威胁	I vividly remember the threat he left on my voicemail.			我还清楚地记得他在我语音心想留下的威胁
	2	好吧	Okay,			
	2	很对不起	I'm very sorry.	I	我很对不起	
						
222	1	可以给我倒杯水吗 谢谢	Can you give me a glass of water? Thank you！	you	你可以给我倒杯水吗 谢谢	
	2	好	OK.			
	1	你也许该出去走走	Maybe you should go out for a walk.			
	1	这些药会让我晕乎一段时间	These pills will knock me out for a while.			
	1	你没必要在这看着我边睡觉边流口水	You don't have to be here watching me drool while I sleep.			你没必要在这看着我边睡觉边留口水
	1	清理一下思路 备用钥匙在那儿	Clear your mind, and the spare keys are there.			
	2	我先洗洗碗	I'll wash the dishes first,			
	2	可能再洗洗衣服	and maybe the clothes next.			
	2	真的 我不介意留下来	Really, I don't mind staying.			
						
223	1	他们把住宅自有率引入到算法中了吗	Did they introduce Residential ownership rate into the algorithm?			
	2	没有 他们考虑过这么做	No, they considered doing so.			
	2	那又怎样 他们又没做	So what, they didn't do it.			
	1	拜托	Come on.			
	1	他们讨论过在安全筛选器的设计中	They talked about that in the design of security filters,			
	1	引入住宅自有率	which introduced the residential ownership rate,			
	1	也就是说 这会自动使贫困街区处于不利形势	That is to say that it automatically puts poorer neighbourhoods at a disadvantage.			也就是说 这会自动使贫困街区处于不利形式
	1	这就是变相的种族歧视啊	This is racism in disguise.			
	2	是的 但是再说一遍 他们没引入	Yes, but again they didn't introduce it.			
	2	所以就不是歧视	So it's not discrimination.			
	1	我们让法官来判决是否是吧	Let's leave it to the judge to decide.			
						
224	1	嘿 大家好啊	Hey, everyone.			
	1	我们正要去看世界上最大的榕树	We are going to see the biggest banyan tree in the world.			
	1	有人想一起来吗	Does anyone want to join us?			
	2	谁会吃饱了撑着 要离开这片仙境	Who will eat all the mind to leave this fairyland			
	2	去坐闷热无比的车只为看一棵树	to take a sweltering ride just in order to see a tree.			去做闷热无比的车只为看一棵树
	1	我最欣赏卡梅隆的一点是	One of the things I admire most about Cameron			
	1	他勇于探索 和我一样	is that he was as adventurous as I was.			
	1	我们都喜欢入乡随俗	We all like to do as the Romans do,			
	1	更多地了解本地居民	learn more about the local people.			
						
225	1	不会有事的	It'll be all right.			
	1	我们要相信简能照顾好自己	We have to trust Jane can take care of herself.			
	2	是啊	Yes.			
	2	我还记得她小的时候 大概五岁	I remember when she was about five,			
	2	我从厨房的窗户往外看	I looked out of the kitchen window,			
	2	她正在爬一棵小树	she is climbing a small tree,			
	2	那棵树小的站只鸟都摇摇晃晃的	the small tree swayed even a bird in it.			那颗树小的站只鸟都摇摇晃晃的
	1	后来呢	What about later?			
	2	她掉下来了 从三米高的地方	She fell from a height of three meters,			
	2	等我跑到后院的时候	by the time I got to the back yard,			
	2	她已经在追着弗兰基和汤米绕着房子跑了	she was already chasing Frankie and Tommy around the house.			
						
226	1	很抱歉 安保措施如此繁琐	I'm sorry the security is so tedious.	I	我很抱歉 安保措施如此繁琐	
	1	因为我们不能让来访者带走任何敏感信息	Because we can't let visitors take any sensitive information with them.			
	2	我理解	I see.			
	1	你离开时可以去前台	You can go to the front desk when you leave.			
	1	拿回你的手机和笔记本电脑	Get your phone and laptop back.			
	1	这边请	This way, please.			
	2	谢谢	Thank you.			
	1	抱歉我们不能给你门卡	I'm sorry we can't give you a gate card,			
	1	只有正式员工才能有	only regular employees can have.			只有正是员工才能有
	1	拐个弯就是总裁办公室	The President's office is just around the corner.			
						
227	1	我想在你那不羁的青年时期	I think in your unruly youth,			
	1	应该住过无数家酒店	you should have stayed in countless hotels.	you	你应该住过无数家酒店	
	2	我很少在一个地方停留	I seldom stay in one place.			
	1	这家酒店有何不同	What's different about this hotel?			
	2	文艺复兴鼎盛时代的建筑	It's an architecture at the height of the Renaissance,			
	2	还有按摩浴缸和热石按摩	there's also a jacuzzi and a hot stone massage.			
	2	如果有下辈子我会在那里定居	If There is a next life I will settle there.			
	1	完美极了 那你又为何离开	Perfect. Then why did you leave?			
	2	我收到风声 欧洲刑警快到了	I got word that Europol was on their ways,			我受到风声 欧洲刑警快到了
	2	他们认为我在科西嘉干了一票	They think I did it in Corsica.			
						
228	1	如果你愿意 就可以回学校	You can go back to school if you would like to.			
	2	问题是 我并不想回来	The problem is I don't want to come back.			
	2	是你对班级重聚有所期待 我没有	Is there anything you expect from a class reunion? I don't.			
	2	而且 我找到了一份工作	And I got a job.			
	2	你看	Look.			
	2	他们招全职工人	They hire full-time workers.			
	2	我可以跟着最棒的人学习	I can learn from the best person.			
	2	这个镇里一半的房子都是斯威尼造的	Sweeney built half the houses in this town.			这个镇里一般的房子都是斯威尼造的
	1	你父母怎么看这件事	What do your parents think about it?			
	2	我做这些就是因为我的家人	I do this just because of my family.			
	2	越快赚到钱 我就能越快离开那儿	The sooner I make money the sooner I can get out of there.			
						
229	1	艾米丽 你衣橱里的东西收拾好了吗	Emily, have you finished packing your closet?			
	2	还在整理	Still in finishing.			
	2	正在考虑哪些东西我不要了	I'm thinking about what I don't take.			
	1	宝贝 我们又不是要搬到月球上去	Baby we're not moving to the moon.			宝贝 我们有不是要搬到月球上去
	1	就放到储藏室去嘛	Just put them in the storage room.			
	2	你要接电话吗	Do you want to answer the phone?			
	2	是佩奇 我等会打给她	It's Paige. I'll call her later.			
						
230	1	他被关了多久	How long did he stay in jail?			
	2	三周	Three weeks.			
	1	什么罪名	What crime?			
	2	藏毒	Possession of drugs.			
	1	私藏B级可卡因 是个轻罪	Possession of grade B cocaine is a misdemeanor.			
	2	交5000元保释金前 他一直被关在这儿	He was jailed here until he was released on $5,000 bail.			
	1	看来是付出生命的代价了	Looks like he's paying for it with his life.	he	他看来是付出生命的代价了	
	1	这里大概有三升的血	There's about three liters of blood here.			
	1	他能撑到医务室已经是奇迹了	It's a miracle he made it to the infirmary.			
	2	因为他年轻 身体强壮	Because he is young and strong.			
	1	好的 这里没有摄像头吗	Okay, is here no cameras?			
	2	在释放区不放摄像头	No cameras in the release area.			
	1	那你可要重新考虑一下了	Well, you might reconsider it.			那你可要从新考虑一下了
						
231	1	我们第一次出去吃饭时	The first time we ate out,			
	1	你问我到底有何图谋	you ask me what I'm up to.			
	1	而我们第一次亲吻时	And when the first time we kissed,			
	1	我意识到自己一无所有	I realized I had nothing			
	1	除了你之外	except you.			
	1	现在我想问你是否愿意再与我一起冒险	Now I want to ask you if you would like to venture with me again,			现在我想问你是否愿意在与我一起冒险
	1	莎拉·埃利斯 你愿意嫁给我吗	Sarah Ellis, will you marry me?			
	2	是的 我愿意	Yes, I will.			
						
232	1	抱歉 无意打断你	Sorry, I have no purpose to interrupt you.	I	抱歉 我无意打断你	
	2	没关系	It doesn't matter.			
	1	没想到会在这种情况下见到你	I didn't expect to see you under such circumstances.	I	我没想到会在这种情况下见到你	
	1	你以前来过这吗	Have you been here before?			
	2	没有 从未来过	No. Never.			没有 从为来过
	1	那看起来不错 是什么	That looks good, what's that?			
	2	杂交草莓	Boysenberries.			
	2	也可能是黑莓	Maybe they are blackberries.	they	他们也可能是黑莓	
	2	我也不知道	I don't know, either.			
	2	是服务生给我推荐的	The waiter recommended it to me.			
						
233	1	有什么事	What's the matter?			
	2	我刚发现我的表亲23年前	I just found that my cousin, 23 years ago,			
	2	疗养院出生	was born in a sanatorium,			
	2	在这里办了领养手续	the adoption process was completed here.			
	2	我不知道性别 但知道生母的姓名	I don't know the sex but I know the name of the birth mother.			我不知道性别 但知道圣母的姓名
	2	我能拿一份领养记录吗	Can I get a copy of the adoption records?			
	1	不能 你既不是被领养人	No, you're neither an adoptee			不能 你即不是被领养人
	1	也不是他的父母	nor his parents.			
	2	我知道 但我们不知道父亲是谁	I know, but we don't know who the father is,			
	2	母亲也失踪了	The mother is also missing.			
	1	我也希望能帮到你们	I hope I can help you, too.			
	2	其实你能帮上忙	Actually you can give a hand.			
						
234	1	那是谁	Who is that?			
	2	大卫·萨顿 35岁	David Sutton who is 35 years old.			
	2	他在高中教科学和驾驶课	He teaches science and driving in a high school.			
	1	真是无情的讽刺	What a cruel irony!			
	1	驾驶课老师在肇事逃逸中死亡	The driving teacher died in a hit-and-run.			
	2	学校刚开始上课的时候	When school just started,			
	2	场地管理员在灌木丛中发现了他	the groundskeeper found him in the bushes.			场地管理员在罐木丛中发现了他
	2	你怎么想 意外还是谋杀	What do you think? An accident or a murder?			
	1	不确定 弗罗斯特 跟我来	I'm not sure. Frost, follow me.	I	我不确定 弗罗斯特 跟我来	
	1	我觉得撞击地点是在这里	I think he was hit here.			
	1	排张照片	Take a photo.			排长照片
						
235	1	你认得这两个人吗	Do you know these two men?			
	2	我应该认得吗	Should I know them?	them	我应该认得他们吗	
	1	他们是这个	They were			
	1	街区收容所的常客	regulars at the neighborhood shelter.			
	2	如果是这样的话 他们或许也经常去海胆	If so, they probably go to Sea Urchins a lot.			
	1	是个酒吧吗	Is it a bar?			
	2	是 所有的流浪汉都去那儿	Yes. It's where all the tramps go.			
	2	酒保帮他们兑现社保支票	The bartender cashes their Social Security checks.			酒保帮他们对现社保支票
	2	有时甚至会让你在那儿洗个澡	Sometimes they even let you take a shower there.	they	有时他们甚至会让你在那儿洗个澡	
	1	好的 谢谢	Ok. Thank you.			
						
236	1	我有很多年没有想起玛丽·德雷克了	I haven't thought about Mary Drake for many years.			
	2	她是个可人	She is lovely.			
	1	您还能告诉我们些其他的吗	What else can you tell us?			
	2	她缺乏常识和辨别力	She lacks common sense and discriminability.			她缺乏常试和辨别力
	2	那倒是很确定	That's for sure.			
	1	怎么说	How do you say that?	you	你怎么说	
	2	之前 我是个妇产科医生	I used to be an accoucheur.			
	2	玛丽的两个孩子我都经手过	I've dealt with Mary's two children.			
						
237	1	马特的尸检报告出来了吗	Did Matt's autopsy report come out yet?			
	2	出来了 还在等毒检和显微镜检查报告	Yes. I'm still waiting for the poison test and the microscopic report.	I	出来了 我还在等毒检和显微镜检查报告	
	2	但我可以确定	But I'm sure that			
	2	他绝非自然死亡	he did not die of natural causes.			他决非自然死亡
	1	真的吗	Really?			
	1	可真是惊人发现	That's an amazing discovery.			
						
238	1	你们俩怎么还没睡	Why don't you two go to sleep?			
	2	明早谋杀案审讯	There is a murder trial tomorrow morning.			
	2	我们担心 睡不着	We worry about that and can not fall asleep.			
	1	放心吧 布里是无辜的	Don't worry, Bree is innocent.			
	1	陪审团会明白	The jury will understand that			
	1	是他们搞错了	they are mistaken.			
	1	这么说吧 我们现在担心布里	Let's just say we're worried about Bree			
	1	也是无济于事	but it doesn't help.			
	2	我一直在想 要不我们出面帮帮她	I've been wondering if we should stand out and help her.			
	2	向法官坦白真相	Confess the truth to the judge.			向法官坦白真想
	1	我跟你想到一块去了	I have the same thought as you.			
						
239	1	等等 小姐 你得签个到	Wait, Miss. You have to sign it.			
	2	我这就打算走了	I'm just leaving.			
	1	你坐在那 喝了咖啡	You sit there and drink a cup of coffee.			
	2	因此你是个探视者	So you're a visitor.			
	1	你看这标识上写的什么	What do you think this sign says?			你看这标志上写的什么
	1	所有探视者必须签到	All visitors must sign in.			
						
240	1	彼得 我还没问他威尔士黄金的事	Peter, I haven't asked him about the Welsh gold.			
	2	为什么不问	Why not ask?			
	1	光是倒卖军火的指控	Only the charge of arms trafficking			
	1	就够审他一阵了	is enough to judge him for a while.			
	1	德克尔以前签有协议	Decker signed a deal.			
	1	他会试图为买卖枪支脱罪	He'll try to get away with buying and selling guns,			
	1	金币可以作为我们的筹码	gold coins can be used as our jetton.			金币可以做为我们的筹码
	2	好吧	All right.			
	2	你想要我和你一起进去吗	Do you want me to come in with you?			
	1	不用了	No.			
						
241	1	2年前 你公开申明过	You made a public statement two years ago.			
	1	你是个无神论者	You're an atheist.			
	1	你现在还这样坚持吗	Are you still insisting that?			
	2	我认为我是一位无神论者吗	Do I think I am an atheist?			
	1	你当时可是坚持的说是	You insisted on saying yes at that time.			
	2	这听起来确实像我	That does sound like me.			
	2	我的生活在过去几年中 发生了很多变化	My life has changed a lot in the past few years.			
	1	你是说你丈夫的绯闻	You mean the affair of your husband?			你是说你丈夫的徘闻
	2	是的 还有其他的一切	Yes and everything else.			
	2	如果你6年前问我 今天的我在做什么	If you had asked me six years ago: what will I do today?			
	2	我不会告诉你 我在竞选州检察官	I'm not going to tell you that I'm running for state attorney.			
	1	是的 生活使人谦逊	Yes, life makes one humble.			
						
242	1	我一想到坐飞机就心里发怵	I cringe at the thought of taking a flight.			
	2	你在说什么呢 你乘过很多次飞机了啊	What are you talking about? You've flown a lot.			
	1	是的 也就这几年开始的	Yes, it's only started from recent few years.			
	1	我觉得 之所以会紧张	I think the reason why I feel nervous is that			
	1	可能是因为现在有很多东西放不下吧	maybe there are so many things I can't put down now.	I	可能是因为我现在有很多东西放不下吧	
	2	你是怎么回事	What's wrong with you?			
	2	来喘口气 不用想着度假的事	Catch your breath and do not think about your vacation.			
	2	度假可还没开始吧	The vacation hasn't started yet.			
	1	我是觉得吧 真到那个时候我就没个清静了	I mean, I don't think I'll be peaceful by then.			我是觉得吧 真到那个时候我就每个清静了
	1	一会儿烤猪宴 一会儿爬山 一会儿表演	A pig roast, then a mountain climb and a show later.			
	2	我们一大家陪你来 你不开心吗	Aren't you happy that we're all coming here with you?			
	1	只是跟我的初衷有些不一样	It's just a little different from my original intention.			
						
243	1	你不能招呼不打就走啊	You can't leave without saying a word!			
	1	不能再那样了	You can't do that again.	you	你不能再那样了	
	1	尤其是昨晚发生了那样的事	Especially after what happened last night.			
	1	我很担心他会抓到你	I'm afraid he'll catch you,			
	1	或者伤害你 或者更糟	or hurt you or even worse.			
	1	我脑子里的画面 触目惊心的可怕 真实	The picture in my mind was horribly real.			我脑子里的画面 怵目惊心的可怕 真实
	2	我就在镇上 斯宾塞	I'm in town, Spencer.			
	2	我就在这里	I'm right here.			
	1	但我不清楚你就在这	But I didn't know you were here.			
						
244	1	法官阁下 之前四次他们都发现你当事人有罪	Your honor, they've found your party guilty four times before,			
	1	致使我无法达成有效辩护	which makes that I was unable to reach an effective defense.			
	1	你知道他们只是在玩手段	You know they're just playing tricks.			
	2	反对	Objection!			
	1	这一要求完全合理 法官阁下	That is a perfectly reasonable request, your honor.			
	1	她要求检查毛衣的SKU	She asked to check the SKU of the sweater.			
	2	SKU是什么	What is the SKU?			
	1	库存元件 法官阁下	Inventory components, your honor.			库存原件 法官阁下
	1	每件商品上都会有一个电子标识	Every item will have an electronic logo on it			
	1	用来防止盗窃	to prevent theft.			
						
245	1	我很惊讶你回来了	I'm surprised that you came back.			
	1	怎么不事先打个电话	Why didn't you call me in advance?	you	你怎么不事先打个电话	
	2	我去过你们那儿了	I've been to your place.			
	2	艾丽西亚没告诉你吗	Didn't Alicia tell you?			
	1	没有	No.			
	2	我们有案子给你	We have a case for you.			
	1	你确定吗	Are you sure?			
	1	我想艾丽西亚担心钱的事情	I think Alicia's worried about the money.			
	2	什么价	What's the price?			
	1	涨价二十美金	Increase the price by $20.			长价二十美金
	1	她说要和你确认一下	She said she wanted to confirm with you.			
						
246	1	三年前 他是他们学校	Three years ago, he was their school's			
	1	校报的主编	editor-in-chief of the school newspaper.			
	1	员工里有个叫佩尼·威廉姆斯的大一新生	Among the staffs, there was a freshman named Penny Williams.			
	1	她自杀了	She committed suicide.			
	1	她获得过“领跑者”奖	She had won the "Front-Runner" award,			
	1	相当于新闻界的诺贝尔奖	which equivalent of the Nobel Prize for journalism.			
	1	成为记者是她的梦想	Being a journalist is her dream.			
	1	我认为他毁了她的梦想	I think he ruined her dream.			
	2	你不会以为他杀了她吧	Don't you think that he killed her?			
	1	不 但我认为她的崩溃与他有关	Yes, but I think her breakdown had something to do with him.			
	1	因为他地位受到威胁	Because his position is threatened.			
	1	员工里其他人有10到15篇论文发表 佩尼只有两篇	The rest of the staffs had 10 or 15 papers published but Penny had only two.			
	1	对一个全国认可的人才来说太少了	It's too few for a nationally recognized talent.			对一个全国认可的人材来说太少了
	2	是啊 事情不对劲	Yes, there is something's wrong.			
						
247	1	今天是重要日子	Today is an important day.			
	2	看出来了	I have saw it.	I	我看出来了	
	2	你戴了你的幸运领带	You're wearing your lucky tie.			
	2	嘿 你找到圣经了吗	Hey, did you find the Bible?			
